start_time,end_time,content,video_id
132411,134671,we have to do something about all of that light.,XYNUpQrZISc
134671,135902,We have to get rid of it.,XYNUpQrZISc
135902,137347,I have a lot of colleagues working on,XYNUpQrZISc
137347,139362,"really amazing technologies to do that,",XYNUpQrZISc
139362,141177,but I want to tell you about one today,XYNUpQrZISc
141177,142674,"that I think is the coolest,",XYNUpQrZISc
142674,144874,and probably the most likely to get us an Earth,XYNUpQrZISc
144874,146410,in the next decade.,XYNUpQrZISc
146410,148482,"It was first suggested by Lyman Spitzer,",XYNUpQrZISc
148482,151642,"the father of the space telescope, in 1962,",XYNUpQrZISc
151642,153758,and he took his inspiration from an eclipse.,XYNUpQrZISc
153758,155941,You've all seen that. That's a solar eclipse.,XYNUpQrZISc
155941,157981,The moon has moved in front of the sun.,XYNUpQrZISc
157981,159741,It blocks out most of the light,XYNUpQrZISc
159741,162117,so we can see that dim corona around it.,XYNUpQrZISc
162117,163780,It would be the same thing if I put my thumb up,XYNUpQrZISc
163780,166365,"and blocked that spotlight
that's getting right in my eye,",XYNUpQrZISc
166365,168277,I can see you in the back row.,XYNUpQrZISc
168277,169579,"Well, what's going on?",XYNUpQrZISc
169579,171524,Well the moon,XYNUpQrZISc
171524,173939,is casting a shadow down on the Earth.,XYNUpQrZISc
173939,177174,"We put a telescope or a camera in that shadow,",XYNUpQrZISc
177174,178685,"we look back at the sun,",XYNUpQrZISc
178685,180325,and most of the light's been removed,XYNUpQrZISc
180325,182415,"and we can see that dim, fine structure",XYNUpQrZISc
182415,183690,in the corona.,XYNUpQrZISc
183690,186357,Spitzer's suggestion was we do this in space.,XYNUpQrZISc
186357,189134,"We build a big screen, we fly it in space,",XYNUpQrZISc
189134,191181,"we put it up in front of the star,",XYNUpQrZISc
191181,192965,"we block out most of the light,",XYNUpQrZISc
192965,195981,"we fly a space telescope in
that shadow that's created,",XYNUpQrZISc
195981,197758,"and boom, we get to see planets.",XYNUpQrZISc
197758,200421,Well that would look something like this.,XYNUpQrZISc
200421,202010,"So there's that big screen,",XYNUpQrZISc
202010,202885,"and there's no planets,",XYNUpQrZISc
202885,205389,"because unfortunately it doesn't
actually work very well,",XYNUpQrZISc
205389,208309,because the light waves of the light and waves,XYNUpQrZISc
208309,209989,diffracts around that screen,XYNUpQrZISc
209989,211773,the same way it did in the telescope.,XYNUpQrZISc
211773,214910,"It's like water bending around a rock in a stream,",XYNUpQrZISc
214910,216700,and all that light just destroys the shadow.,XYNUpQrZISc
216700,219373,It's a terrible shadow. And we can't see planets.,XYNUpQrZISc
219373,221140,But Spitzer actually knew the answer.,XYNUpQrZISc
221140,223645,"If we can feather the edges, soften those edges",XYNUpQrZISc
223645,225411,"so we can control diffraction,",XYNUpQrZISc
225411,227126,"well then we can see a planet,",XYNUpQrZISc
227126,228925,and in the last 10 years or so we've come up,XYNUpQrZISc
228925,230969,with optimal solutions for doing that.,XYNUpQrZISc
230969,234501,It looks something like that.,XYNUpQrZISc
234501,236846,We call that our flower petal starshade.,XYNUpQrZISc
236846,239806,"If we make the edges of those petals exactly right,",XYNUpQrZISc
239806,241230,"if we control their shape,",XYNUpQrZISc
241230,242788,"we can control diffraction,",XYNUpQrZISc
242788,244234,and now we have a great shadow.,XYNUpQrZISc
244234,246878,"It's about 10 billion times dimmer than it was before,",XYNUpQrZISc
246878,250324,and we can see the planets beam out just like that.,XYNUpQrZISc
250324,252182,"That, of course, has to be bigger than my thumb.",XYNUpQrZISc
252182,253640,That starshade is about,XYNUpQrZISc
253640,255216,the size of half a football field,XYNUpQrZISc
255216,258806,"and it has to fly 50,000 kilometers
away from the telescope",XYNUpQrZISc
258806,260866,"that has to be held right in its shadow,",XYNUpQrZISc
260866,262830,and then we can see those planets.,XYNUpQrZISc
262830,264238,"This sounds formidable,",XYNUpQrZISc
264238,267246,"but brilliant engineers, colleagues of mine at JPL,",XYNUpQrZISc
267246,270126,came up with a fabulous design for how to do that,XYNUpQrZISc
270126,271200,and it looks like this.,XYNUpQrZISc
271200,272988,It starts wrapped around a hub.,XYNUpQrZISc
272988,274967,It separates from the telescope.,XYNUpQrZISc
274967,277238,"The petals unfurl, they open up,",XYNUpQrZISc
277238,278998,the telescope turns around.,XYNUpQrZISc
278998,281142,Then you'll see it flip and fly out,XYNUpQrZISc
281142,284357,"that 50,000 kilometers away from the telescope.",XYNUpQrZISc
284357,286827,It's going to move in front of the star,XYNUpQrZISc
286827,290110,"just like that, creates a wonderful shadow.",XYNUpQrZISc
290110,293914,"Boom, we get planets orbiting about it.",XYNUpQrZISc
293914,295638,(Applause),XYNUpQrZISc
295638,297997,Thank you.,XYNUpQrZISc
297997,299950,That's not science fiction.,XYNUpQrZISc
299950,302513,"We've been working on this
for the last five or six years.",XYNUpQrZISc
302513,305116,"Last summer, we did a really cool test",XYNUpQrZISc
305116,307555,out in California at Northrop Grumman.,XYNUpQrZISc
307555,309138,So those are four petals.,XYNUpQrZISc
309138,310850,This is a sub-scale star shade.,XYNUpQrZISc
310850,313347,It's about half the size of the one you just saw.,XYNUpQrZISc
313347,314807,You'll see the petals unfurl.,XYNUpQrZISc
314807,316874,Those four petals were built by four undergraduates,XYNUpQrZISc
316874,319289,doing a summer internship at JPL.,XYNUpQrZISc
319289,320535,Now you're seeing it deploy.,XYNUpQrZISc
320535,322517,Those petals have to rotate into place.,XYNUpQrZISc
322517,323687,The base of those petals,XYNUpQrZISc
323687,326060,has to go to the same place every time,XYNUpQrZISc
326060,327683,to within a tenth of a millimeter.,XYNUpQrZISc
327683,329443,"We ran this test 16 times,",XYNUpQrZISc
329443,332282,and 16 times it went into the exact same place,XYNUpQrZISc
332282,333723,to a tenth of a millimeter.,XYNUpQrZISc
333723,335655,"This has to be done very precisely,",XYNUpQrZISc
335655,338163,"but if we can do this, if we can build this technology,",XYNUpQrZISc
338163,339647,"if we can get it into space,",XYNUpQrZISc
339647,341448,you might see something like this.,XYNUpQrZISc
341448,343720,That's a picture of one our nearest neighbor stars,XYNUpQrZISc
343720,346314,taken with the Hubble Space Telescope.,XYNUpQrZISc
346314,348698,"If we can take a similar space telescope,",XYNUpQrZISc
348698,349956,"slightly larger,",XYNUpQrZISc
349956,351378,"put it out there,",XYNUpQrZISc
351378,352764,"fly an occulter in front of it,",XYNUpQrZISc
352764,354954,what we might see is something like that --,XYNUpQrZISc
354954,357890,"that's a family portrait of our
solar system -- but not ours.",XYNUpQrZISc
357890,360412,We're hoping it'll be someone else's solar system,XYNUpQrZISc
360412,362044,"as seen through an occulter,",XYNUpQrZISc
362044,363114,through a starshade like that.,XYNUpQrZISc
363114,365139,"You can see Jupiter, you can see Saturn,",XYNUpQrZISc
365139,367762,"Uranus, Neptune, and right there in the center,",XYNUpQrZISc
367762,369102,next to the residual light,XYNUpQrZISc
369102,371007,is that pale blue dot. That's Earth.,XYNUpQrZISc
371007,373381,"We want to see that, see if there's water,",XYNUpQrZISc
373381,374786,"oxygen, ozone,",XYNUpQrZISc
374786,377309,the things that might tell us that it could harbor life.,XYNUpQrZISc
377309,379718,I think this is the coolest possible science.,XYNUpQrZISc
379718,381371,"That's why I got into doing this,",XYNUpQrZISc
381371,383341,because I think that will change the world.,XYNUpQrZISc
383341,385779,That will change everything when we see that.,XYNUpQrZISc
385779,387365,Thank you.,XYNUpQrZISc
387365,391365,(Applause),XYNUpQrZISc
0,7000,"Translator: Joseph Geni
Reviewer: Morton Bast",R2kOgSVF2Uk
13552,16266,This man is wearing what we call,R2kOgSVF2Uk
16266,19036,a bee beard. (Laughter),R2kOgSVF2Uk
19036,20485,A beard full of bees.,R2kOgSVF2Uk
20485,23728,"Now, this is what many of you might picture",R2kOgSVF2Uk
23728,26701,"when you think about honeybees, maybe insects,",R2kOgSVF2Uk
26701,29789,or maybe anything that has more legs than two.,R2kOgSVF2Uk
29789,32447,"And let me start by telling you, I gotcha.",R2kOgSVF2Uk
32447,36928,"I understand that. But, there are many things to know,",R2kOgSVF2Uk
36928,39608,"and I want you to open your minds here,",R2kOgSVF2Uk
39608,43098,"keep them open, and change your perspective about honeybees.",R2kOgSVF2Uk
43098,46063,Notice that this man is not getting stung.,R2kOgSVF2Uk
46063,49507,"He probably has a queen bee tied to his chin,",R2kOgSVF2Uk
49507,51626,and the other bees are attracted to it.,R2kOgSVF2Uk
51626,55662,"So this really demonstrates our relationship with honeybees,",R2kOgSVF2Uk
55662,59430,and that goes deep back for thousands of years.,R2kOgSVF2Uk
59430,62592,"We're very co-evolved, because we depend on bees",R2kOgSVF2Uk
62592,65552,"for pollination and, even more recently,",R2kOgSVF2Uk
65552,67376,as an economic commodity.,R2kOgSVF2Uk
67376,70176,"Many of you may have heard that honeybees are disappearing,",R2kOgSVF2Uk
70176,72753,"not just dying, but they're gone.",R2kOgSVF2Uk
72753,74555,We don't even find dead bodies.,R2kOgSVF2Uk
74555,76926,"This is called colony collapse disorder,",R2kOgSVF2Uk
76926,79138,and it's bizarre. Researchers around the globe,R2kOgSVF2Uk
79138,81584,"still do not know what's causing it,",R2kOgSVF2Uk
81584,84154,"but what we do know is that, with the declining numbers",R2kOgSVF2Uk
84154,88391,"of bees, the costs of over 130 fruit and vegetable crops",R2kOgSVF2Uk
88391,93398,that we rely on for food is going up in price.,R2kOgSVF2Uk
93398,97156,So honeybees are important for their role in the economy,R2kOgSVF2Uk
97156,99181,as well as in agriculture.,R2kOgSVF2Uk
99181,101000,Here you can see some pictures of what are called,R2kOgSVF2Uk
101000,103689,"green roofs, or urban agriculture.",R2kOgSVF2Uk
103689,105967,We're familiar with the image on the left that shows,R2kOgSVF2Uk
105967,108751,a local neighborhood garden in the South End.,R2kOgSVF2Uk
108751,111542,That's where I call home. I have a beehive in the backyard.,R2kOgSVF2Uk
111542,113961,"And perhaps a green roof in the future,",R2kOgSVF2Uk
113961,115892,"when we're further utilizing urban areas,",R2kOgSVF2Uk
115892,119350,where there are stacks of garden spaces.,R2kOgSVF2Uk
119350,122703,Check out this image above the orange line in Boston.,R2kOgSVF2Uk
122703,126180,Try to spot the beehive. It's there.,R2kOgSVF2Uk
126180,128877,"It's on the rooftop, right on the corner there,",R2kOgSVF2Uk
128877,131270,and it's been there for a couple of years now.,R2kOgSVF2Uk
131270,134522,The way that urban beekeeping currently operates,R2kOgSVF2Uk
134522,137113,"is that the beehives are quite hidden,",R2kOgSVF2Uk
137113,139140,and it's not because they need to be.,R2kOgSVF2Uk
139140,142117,"It's just because people are uncomfortable with the idea,",R2kOgSVF2Uk
142117,145791,"and that's why I want you today to try to think about this,",R2kOgSVF2Uk
145791,148074,think about the benefits of bees in cities,R2kOgSVF2Uk
148074,150333,and why they really are a terrific thing.,R2kOgSVF2Uk
150333,153303,Let me give you a brief rundown on how pollination works.,R2kOgSVF2Uk
153303,155886,"So we know flowers, we know fruits and vegetables,",R2kOgSVF2Uk
155886,159092,even some alfalfa in hay that the livestock,R2kOgSVF2Uk
159092,161555,"for the meats that we eat, rely on pollinators,",R2kOgSVF2Uk
161555,164988,"but you've got male and female parts to a plant here,",R2kOgSVF2Uk
164988,167878,and basically pollinators are attracted to plants,R2kOgSVF2Uk
167878,170905,"for their nectar, and in the process,",R2kOgSVF2Uk
170905,174280,"a bee will visit some flowers and pick up some pollen,",R2kOgSVF2Uk
174280,177712,"or that male kind of sperm counterpart, along the way,",R2kOgSVF2Uk
177712,180330,"and then travel to different flowers, and eventually",R2kOgSVF2Uk
180330,183449,"an apple, in this case, will be produced.",R2kOgSVF2Uk
183449,185716,You can see the orientation. The stem is down.,R2kOgSVF2Uk
185716,188670,"The blossom end has fallen off by the time we eat it,",R2kOgSVF2Uk
188670,191528,but that's a basic overview of how pollination works.,R2kOgSVF2Uk
191528,194400,"And let's think about urban living, not today,",R2kOgSVF2Uk
194400,197265,"and not in the past, but what about in a hundred years?",R2kOgSVF2Uk
197265,201203,What's it gonna look like? We have huge grand challenges,R2kOgSVF2Uk
201203,205133,"these days of habitat loss. We have more and more people,",R2kOgSVF2Uk
205133,208494,"billions of people, in 100 years, God knows how many people,",R2kOgSVF2Uk
208494,211858,"and how little space there will be to fit all of them,",R2kOgSVF2Uk
211858,215280,"so we need to change the way that we see cities, and",R2kOgSVF2Uk
215280,218643,"looking at this picture on the left of New York City today,",R2kOgSVF2Uk
218643,220510,you can see how gray and brown it is.,R2kOgSVF2Uk
220510,224041,We have tar paper on the rooftops that bounces heat back,R2kOgSVF2Uk
224041,226077,"into the atmosphere,",R2kOgSVF2Uk
226077,228412,"contributing to global climate change, no doubt.",R2kOgSVF2Uk
228412,230912,"What about in 100 years, if we have green rooftops",R2kOgSVF2Uk
230912,234075,"everywhere, and gardening, and we create our own crops",R2kOgSVF2Uk
234075,237878,"right in the cities? We save on the costs of transportation,",R2kOgSVF2Uk
237878,241974,"we save on a healthier diet, and we also educate",R2kOgSVF2Uk
241974,243676,and create new jobs locally.,R2kOgSVF2Uk
243676,248342,We need bees for the future of our cities and urban living.,R2kOgSVF2Uk
248342,251726,Here's some data that we collected through our company,R2kOgSVF2Uk
251726,254628,"with Best Bees, where we deliver, install and manage",R2kOgSVF2Uk
254628,256871,"honeybee hives for anybody who wants them,",R2kOgSVF2Uk
256871,260388,"in the city, in the countryside, and we introduce honeybees,",R2kOgSVF2Uk
260388,263247,and the idea of beekeeping in your own backyard or rooftop,R2kOgSVF2Uk
263247,265728,"or fire escape, for even that matter,",R2kOgSVF2Uk
265728,268502,and seeing how simple it is and how possible it is.,R2kOgSVF2Uk
268502,270634,There's a counterintuitive trend that we noticed,R2kOgSVF2Uk
270634,274077,"in these numbers. So let's look at the first metric here,",R2kOgSVF2Uk
274077,275477,overwintering survival.,R2kOgSVF2Uk
275477,278302,"Now this has been a huge problem for many years,",R2kOgSVF2Uk
278302,282362,"basically since the late 1980s, when the varroa mite came",R2kOgSVF2Uk
282362,285738,"and brought many different viruses, bacteria",R2kOgSVF2Uk
285738,287542,and fungal diseases with it.,R2kOgSVF2Uk
287542,289291,"Overwintering success is hard,",R2kOgSVF2Uk
289291,291584,"and that's when most of the colonies are lost,",R2kOgSVF2Uk
291584,294250,"and we found that in the cities, bees are surviving",R2kOgSVF2Uk
294250,296598,better than they are in the country.,R2kOgSVF2Uk
296598,298826,"A bit counterintuitive, right?",R2kOgSVF2Uk
298826,300908,"We think, oh, bees, countryside, agriculture,",R2kOgSVF2Uk
300908,303135,but that's not what the bees are showing.,R2kOgSVF2Uk
303135,305284,The bees like it in the city. (Laughter),R2kOgSVF2Uk
305284,308431,"Furthermore, they also produce more honey.",R2kOgSVF2Uk
308431,311000,The urban honey is delicious.,R2kOgSVF2Uk
311000,314097,"The bees in Boston on the rooftop of the Seaport Hotel,",R2kOgSVF2Uk
314097,316569,where we have hundreds of thousands of bees,R2kOgSVF2Uk
316569,318072,flying overheard right now,R2kOgSVF2Uk
318072,320377,"that I'm sure none of you noticed when we walked by,",R2kOgSVF2Uk
320377,322687,are going to all of the local community gardens,R2kOgSVF2Uk
322687,325086,"and making delicious, healthy honey",R2kOgSVF2Uk
325086,328114,that just tastes like the flowers in our city.,R2kOgSVF2Uk
328114,332901,"So the yield for urban hives, in terms of honey production,",R2kOgSVF2Uk
332901,336016,"is higher as well as the overwintering survival,",R2kOgSVF2Uk
336016,337390,compared to rural areas.,R2kOgSVF2Uk
337390,339392,"Again, a bit counterintuitive.",R2kOgSVF2Uk
339392,342713,And looking back historically at the timeline,R2kOgSVF2Uk
342713,346989,"of honeybee health, we can go back to the year 950 and see",R2kOgSVF2Uk
346989,350037,that there was also a great mortality of bees in Ireland.,R2kOgSVF2Uk
350037,353188,So the problems of bees today isn't necessarily,R2kOgSVF2Uk
353188,355813,something new. It has been happening,R2kOgSVF2Uk
355813,357880,"since over a thousand years ago,",R2kOgSVF2Uk
357880,361577,but what we don't really notice are these problems in cities.,R2kOgSVF2Uk
361577,363605,So one thing I want to encourage you to think about,R2kOgSVF2Uk
363605,366007,is the idea of what an urban island is.,R2kOgSVF2Uk
366007,369403,You think in the city maybe the temperature's warmer.,R2kOgSVF2Uk
369403,370982,Why are bees doing better in the city?,R2kOgSVF2Uk
370982,373654,This is a big question now to help us understand,R2kOgSVF2Uk
373654,375975,why they should be in the city.,R2kOgSVF2Uk
375975,377997,Perhaps there's more pollen in the city.,R2kOgSVF2Uk
377997,380213,"With the trains coming in to urban hubs, they can",R2kOgSVF2Uk
380213,382792,"carry pollen with them, very light pollen,",R2kOgSVF2Uk
382792,385129,and it's just a big supermarket in the city.,R2kOgSVF2Uk
385129,388956,A lot of linden trees live along the railroad tracks.,R2kOgSVF2Uk
388956,391722,Perhaps there are fewer pesticides in the cities,R2kOgSVF2Uk
391722,393940,than there are in [rural] areas.,R2kOgSVF2Uk
393940,396792,"Perhaps there are other things that we're just not thinking about yet,",R2kOgSVF2Uk
396792,399399,"but that's one idea to think about, urban islands.",R2kOgSVF2Uk
399399,403323,And colony collapse disorder is not the only thing,R2kOgSVF2Uk
403323,406225,"affecting honeybees. Honeybees are dying,",R2kOgSVF2Uk
406225,409929,"and it's a huge, huge grand challenge of our time.",R2kOgSVF2Uk
409929,412401,"What you can see up here is a map of the world,",R2kOgSVF2Uk
412401,415473,and we're tracking the spread of this varroa mite.,R2kOgSVF2Uk
415473,418161,"Now, the varroa mite is what changed the game",R2kOgSVF2Uk
418161,421016,"in beekeeping, and you can see, at the top right,",R2kOgSVF2Uk
421016,424279,"the years are changing, we're coming up to modern times,",R2kOgSVF2Uk
424279,426609,and you can see the spread of the varroa mite,R2kOgSVF2Uk
426609,429260,from the early 1900s through now.,R2kOgSVF2Uk
429260,432211,"It's 1968, and we're pretty much covering Asia.",R2kOgSVF2Uk
432211,436273,"1971, we saw it spread to Europe and South America,",R2kOgSVF2Uk
436273,440661,"and then, when we get to the 1980s,",R2kOgSVF2Uk
440661,444895,"and specifically to 1987, the varroa mite finally came",R2kOgSVF2Uk
444895,447277,"to North America and to the United States,",R2kOgSVF2Uk
447277,449733,and that is when the game changed,R2kOgSVF2Uk
449733,452414,for honeybees in the United States.,R2kOgSVF2Uk
452414,454502,"Many of us will remember our childhood growing up,",R2kOgSVF2Uk
454502,456728,"maybe you got stung by a bee, you saw bees on flowers.",R2kOgSVF2Uk
456728,460666,Think of the kids today. Their childhood's a bit different.,R2kOgSVF2Uk
460666,462590,They don't experience this.,R2kOgSVF2Uk
462590,465090,The bees just aren't around anymore.,R2kOgSVF2Uk
465090,468530,So we need bees and they're disappearing and it's a big problem.,R2kOgSVF2Uk
468530,470235,What can we do here?,R2kOgSVF2Uk
470235,472800,"So, what I do is honeybee research.",R2kOgSVF2Uk
472800,474893,I got my Ph.D. studying honeybee health.,R2kOgSVF2Uk
474893,478358,I started in 2005 studying honeybees.,R2kOgSVF2Uk
478358,480700,"In 2006, honeybees started disappearing,",R2kOgSVF2Uk
480700,483061,"so suddenly, like, this little nerd kid",R2kOgSVF2Uk
483061,485678,going to school working with bugs — (Laughter) —,R2kOgSVF2Uk
485678,487771,became very relevant in the world.,R2kOgSVF2Uk
487771,488852,And it worked out that way.,R2kOgSVF2Uk
488852,492851,So my research focuses on ways to make bees healthier.,R2kOgSVF2Uk
492851,495642,"I don't research what's killing the bees, per se.",R2kOgSVF2Uk
495642,497825,I'm not one of the many researchers around the world,R2kOgSVF2Uk
497825,500896,who's looking at the effects of pesticides or diseases,R2kOgSVF2Uk
500896,503448,or habitat loss and poor nutrition on bees.,R2kOgSVF2Uk
503448,505441,We're looking at ways to make bees healthier,R2kOgSVF2Uk
505441,509072,"through vaccines, through yogurt, like probiotics,",R2kOgSVF2Uk
509072,513872,"and other types of therapies in ways that can be fed orally to bees,",R2kOgSVF2Uk
513872,516907,"and this process is so easy, even a 7-year-old can do it.",R2kOgSVF2Uk
516907,519267,"You just mix up some pollen, sugar and water,",R2kOgSVF2Uk
519267,521069,"and whatever active ingredient you want to put in,",R2kOgSVF2Uk
521069,523267,"and you just give it right to the bees. No chemicals involved,",R2kOgSVF2Uk
523267,525437,just immune boosters.,R2kOgSVF2Uk
525437,527637,Humans think about our own health in a prospective way.,R2kOgSVF2Uk
527637,530297,"We exercise, we eat healthy, we take vitamins.",R2kOgSVF2Uk
530297,533340,Why don't we think about honeybees in that same type of way?,R2kOgSVF2Uk
533340,535906,Bring them to areas where they're thriving,R2kOgSVF2Uk
535906,539342,and try to make them healthier before they get sick.,R2kOgSVF2Uk
539342,543531,I spent many years in grad school trying to poke bees and do vaccines,R2kOgSVF2Uk
543531,546873,"with needles. (Laughter) Like, years,",R2kOgSVF2Uk
546873,549175,"years at the bench, Oh my gosh, it's 3 a.m.""",R2kOgSVF2Uk
549175,550526,"and I'm still pricking bees. (Laughter)""",R2kOgSVF2Uk
550526,554400,"And then one day I said, Why don't we just do an oral vaccine?""""",R2kOgSVF2Uk
554400,559048,"It's like, Ugh,"" so that's what we do. (Laughter)""",R2kOgSVF2Uk
559048,562236,"I'd love to share with you some images of urban beehives,",R2kOgSVF2Uk
562236,564718,because they can be anything.,R2kOgSVF2Uk
564718,566621,"I mean, really open your mind with this.",R2kOgSVF2Uk
566621,568795,You can paint a hive to match your home.,R2kOgSVF2Uk
568795,572165,You can hide a hive inside your home.,R2kOgSVF2Uk
572165,573977,These are three hives on the rooftop,R2kOgSVF2Uk
573977,576088,"of the Fairmont Copley Plaza Hotel,",R2kOgSVF2Uk
576088,578548,"and they're beautiful here. I mean, we matched",R2kOgSVF2Uk
578548,581229,the new color of the inside of their rooms to do,R2kOgSVF2Uk
581229,584466,"some type of a stained wood with blue for their sheets,",R2kOgSVF2Uk
584466,587485,"and these bees are terrific, and they also will use",R2kOgSVF2Uk
587485,590091,herbs that are growing in the garden.,R2kOgSVF2Uk
590091,593190,"That's what the chefs go to to use for their cooking,",R2kOgSVF2Uk
593190,595069,and the honey -- they do live events --,R2kOgSVF2Uk
595069,597207,they'll use that honey at their bars.,R2kOgSVF2Uk
597207,599827,Honey is a great nutritional substitute for regular sugar,R2kOgSVF2Uk
599827,601954,because there are different types of sugars in there.,R2kOgSVF2Uk
601954,604331,"We also have a classroom hives project,",R2kOgSVF2Uk
604331,606983,where -- this is a nonprofit venture --,R2kOgSVF2Uk
606983,610100,we're spreading the word around the world for how,R2kOgSVF2Uk
610100,612385,honeybee hives can be taken into the classroom,R2kOgSVF2Uk
612385,614691,"or into the museum setting, behind glass,",R2kOgSVF2Uk
614691,617099,and used as an educational tool.,R2kOgSVF2Uk
617099,618723,This hive that you see here has been,R2kOgSVF2Uk
618723,621274,in Fenway High School for many years now.,R2kOgSVF2Uk
621274,623233,The bees fly right into the outfield of Fenway Park.,R2kOgSVF2Uk
623233,625188,"Nobody notices it. If you're not a flower,",R2kOgSVF2Uk
625188,627809,these bees do not care about you. (Laughter),R2kOgSVF2Uk
627809,630180,"They don't. They don't. They'll say,",R2kOgSVF2Uk
630180,633091,"S'cuse me, flying around."" (Laughter)""",R2kOgSVF2Uk
633091,635654,Some other images here in telling a part of the story,R2kOgSVF2Uk
635654,638292,that really made urban beekeeping terrific is,R2kOgSVF2Uk
638292,641656,"in New York City, beekeeping was illegal until 2010.",R2kOgSVF2Uk
641656,644993,"That's a big problem, because what's going to pollinate",R2kOgSVF2Uk
644993,648417,all of the gardens and the produce locally? Hands?,R2kOgSVF2Uk
648417,651773,"I mean, locally in Boston, there is a terrific company",R2kOgSVF2Uk
651773,654178,"called Green City Growers, and they are going",R2kOgSVF2Uk
654178,657689,"and pollinating their squash crops by hand with Q-Tips,",R2kOgSVF2Uk
657689,660243,"and if they miss that three day window, there's no fruit.",R2kOgSVF2Uk
660243,663146,"Their clients aren't happy, and people go hungry.",R2kOgSVF2Uk
663146,665014,So this is important.,R2kOgSVF2Uk
665014,667121,We have also some images of honey from Brooklyn.,R2kOgSVF2Uk
667121,669073,"Now, this was a mystery in the New York Times",R2kOgSVF2Uk
669073,670921,"where the honey was very red, and the",R2kOgSVF2Uk
670921,672445,New York State forensics department came in,R2kOgSVF2Uk
672445,675047,and they actually did some science to match,R2kOgSVF2Uk
675047,677567,the red dye with that found,R2kOgSVF2Uk
677567,680818,in a maraschino cherry factory down the street. (Laughter),R2kOgSVF2Uk
680818,684216,So you can tailor your honey to taste however you want,R2kOgSVF2Uk
684216,686511,by planting bee-friendly flowers.,R2kOgSVF2Uk
686511,689249,Paris has been a terrific model for urban beekeeping.,R2kOgSVF2Uk
689249,691799,They've had hives on the rooftop of their opera house,R2kOgSVF2Uk
691799,694735,"for many years now, and that's what really got people started, thinking,",R2kOgSVF2Uk
694735,698203,"Wow, we can do this, and we should do this.""""",R2kOgSVF2Uk
698203,701036,"Also in London, and in Europe across the board,",R2kOgSVF2Uk
701036,704288,they're very advanced in their use of green rooftops,R2kOgSVF2Uk
704288,706786,"and integrating beehives,",R2kOgSVF2Uk
706786,709967,and I'll show you an ending note here.,R2kOgSVF2Uk
709967,712042,I would like to encourage you to open your mind.,R2kOgSVF2Uk
712042,715203,What can you do to save the bees or to help them,R2kOgSVF2Uk
715203,718994,or to think of sustainable cities in the future?,R2kOgSVF2Uk
718994,720964,"Well, really, just change your perspective.",R2kOgSVF2Uk
720964,722938,Try to understand that bees are very important.,R2kOgSVF2Uk
722938,725349,A bee isn't going to sting you if you see it.,R2kOgSVF2Uk
725349,728663,"The bee dies. Honeybees die when they sting,",R2kOgSVF2Uk
728663,731105,so they don't want to do it either. (Laughter),R2kOgSVF2Uk
731105,735195,It's nothing to panic about. They're all over the city.,R2kOgSVF2Uk
735195,737297,You could even get your own hive if you want.,R2kOgSVF2Uk
737297,739025,"There are great resources available,",R2kOgSVF2Uk
739025,741976,and there are even companies that will help get you set up and mentor you,R2kOgSVF2Uk
741981,745107,and it's important for our educational system in the world,R2kOgSVF2Uk
745107,747793,for students to learn about agriculture worldwide,R2kOgSVF2Uk
747793,751628,"such as this little girl, who, again, is not even getting stung.",R2kOgSVF2Uk
751628,753982,Thank you. (Applause),R2kOgSVF2Uk
12884.0,18343.0,"Where are you from?""",8i-pNVj5KMw
,,,8i-pNVj5KMw
19583.0,23103.0,"Where are you from?""""",8i-pNVj5KMw
24453.0,27493.0,"It's September 21, 2001,",8i-pNVj5KMw
28533.0,33615.0,"10 days after the worst attack
on America since World War II.",8i-pNVj5KMw
34715.0,38940.0,Everyone wonders about the next plane.,8i-pNVj5KMw
38940.0,41682.0,People are looking for scapegoats.,8i-pNVj5KMw
42762.0,46490.0,"The president,
the night before, pledges to",8i-pNVj5KMw
46490.0,51744.0,bring our enemies to justice,8i-pNVj5KMw
,,,8i-pNVj5KMw
52934.0,58493.0,"And in the Dallas mini-mart,",8i-pNVj5KMw
58493.0,64266.0,"a Dallas mini-part surrounded
by tire shops and strip joints",8i-pNVj5KMw
64266.0,68273.0,"a Bangladeshi immigrant
works the register.",8i-pNVj5KMw
68273.0,75315.0,"Back home, Raisuddin Bhuiyan
was a big man, an Air Force officer.",8i-pNVj5KMw
75315.0,78919.0,"But he dreamed of a
fresh start in America.",8i-pNVj5KMw
78919.0,84217.0,"If he had to work briefly in a mini-mart
to save up for I.T. classes",8i-pNVj5KMw
84217.0,86805.0,"and his wedding in two months, so be it.",8i-pNVj5KMw
87605.0,92785.0,"Then, on September 21,
that tattooed man enters the mart.",8i-pNVj5KMw
92785.0,95046.0,He holds a shotgun.,8i-pNVj5KMw
96496.0,98159.0,Raisuddin knows the drill:,8i-pNVj5KMw
98159.0,100828.0,puts cash on the counter.,8i-pNVj5KMw
102058.0,106519.0,"This time, the man doesn't
touch the money.",8i-pNVj5KMw
106519.0,110990.0,"Where are you from?"" he asks.""",8i-pNVj5KMw
110990.0,116192.0,"Excuse me?"" Raisuddin answers.""",8i-pNVj5KMw
116192.0,120317.0,His accent betrays him.,8i-pNVj5KMw
120317.0,125334.0,"The tattooed man, a self-styled
true American vigilante,",8i-pNVj5KMw
